study,e_exp,n_exp,e_ctrl,n_ctrl,weight_pct,RR_pub
Ahrén 2013,1,510,0,170,1.9,1.0
Arslanian 2022,0,104,1,51,2.0,0.17
Blackman 2016,1,176,0,179,1.9,3.05
Buse 2011,0,137,1,122,1.9,0.3
Carydias 2022,1,84,0,42,2.0,1.52
DeFronzo 2010,1,92,0,45,2.0,1.48
Gerstein 2019,2,4943,2,4949,5.2,1.0
Hernandez 2018,2,4717,3,4715,6.2,0.67
Ishii 2020,0,120,0,39,,
Jabbour 2020,0,231,1,233,1.9,0.34
Kaku 2019,1,273,0,546,1.9,5.99
Kelly 2020,1,125,0,126,1.9,3.02
Lincoff 2023,10,8803,10,8801,25.8,1.0
Mentz 2017,4,7344,3,7372,8.8,1.34
None 2014,0,481,1,484,1.9,0.34
Pfeffer 2015,2,3031,0,3032,2.1,5.0
Pi-Sunyer 2015,2,2481,1,1242,3.4,1.0
Seino 2012a,0,154,1,157,1.9,0.34
Seino 2012b,0,268,1,132,1.9,0.16
Tack 2019,6,4668,7,4672,16.7,0.86
Tamborlane 2022,0,59,0,23,,
Umpierrez 2014,0,539,1,268,1.9,0.17
Unger 2021,0,980,1,984,1.9,0.33
Wilding 2021,1,1306,1,655,2.6,0.5
Zinman 2019,0,546,1,184,1.9,0.11
