study,stratum,design,indication,molecule,comparator,outcome_std,N_exposed,N_comparator,events_exp,events_ctrl,effect_type,effect_est,ci_low,ci_high,extraction,poolable,pmid,doi,journal,note
Ahrén 2013,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),510.0,170.0,1.0,0.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Arslanian 2022,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),104.0,51.0,0.0,1.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Blackman 2016,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),176.0,179.0,1.0,0.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Buse 2011,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),137.0,122.0,0.0,1.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Carydias 2022,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),84.0,42.0,1.0,0.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
DeFronzo 2010,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),92.0,45.0,1.0,0.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Gerstein 2019,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),4943.0,4949.0,2.0,2.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Hernandez 2018,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),4717.0,4715.0,2.0,3.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Ishii 2020,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),120.0,39.0,0.0,0.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Jabbour 2020,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),231.0,233.0,0.0,1.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Kaku 2019,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),273.0,546.0,1.0,0.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Kelly 2020,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),125.0,126.0,1.0,0.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Lincoff 2023,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),8803.0,8801.0,10.0,10.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Mentz 2017,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),7344.0,7372.0,4.0,3.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
None 2014,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),481.0,484.0,0.0,1.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Pfeffer 2015,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),3031.0,3032.0,2.0,0.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Pi-Sunyer 2015,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),2481.0,1242.0,2.0,1.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Seino 2012a,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),154.0,157.0,0.0,1.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Seino 2012b,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),268.0,132.0,0.0,1.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Tack 2019,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),4668.0,4672.0,6.0,7.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Tamborlane 2022,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),59.0,23.0,0.0,0.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Umpierrez 2014,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),539.0,268.0,0.0,1.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Unger 2021,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),980.0,984.0,0.0,1.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Wilding 2021,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),1306.0,655.0,1.0,1.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
Zinman 2019,RCT,RCT,T2D/obesity,mixed,placebo/active,suicidal behaviour (composite),546.0,184.0,0.0,1.0,,,,,2x2 (anchor forest),yes,,10.1111/1753-0407.70151,J Diabetes (Chen 2025 anchor),
"Association of glucagon-like peptide-1 receptor agonist use with anxiety disorders, d",observational,cohort,T2D,GLP-1 RA class,SGLT2i,depression,,,,,HR,1.19,1.11,1.28,adjusted (abstract/FT),yes,41592697.0,10.1016/j.diabres.2026.113104,Diabetes Res Clin Pract,also anxiety 1.09; SI vs SU 0.62
Association between GLP-1 receptor agonist use and worsening mental illness in people,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,extractable_fulltext,no,41862258.0,10.1016/S2215-0366(26)00014-3,Lancet Psychiatry,Lancet Psychiatry cohort; composite worsening mental illness; HRs in full-text/figs
"The risk of depression, anxiety, and suicidal behavior in patients with obesity on gl",observational,cohort,obesity,semaglutide/liraglutide,non-GLP1,depression,,,,,HR,2.95,2.82,3.08,adjusted (abstract/FT),yes,39424950.0,10.1038/s41598-024-75965-2,Sci Rep,TriNetX; large positive outlier (channeling?)
Risk of suicidal ideation and suicidality among adults prescribed semaglutide for wei,observational,cohort,,,active-comparator AOM,suicidal ideation,,,,,RR,1.36,0.62,6.14,extractable_fulltext,yes,40760781.0,10.1111/dom.70002,Diabetes Obes Metab,DOM; semaglutide vs active comparators SI; adjusted risks reported as %; HR in FT | RECLASSIFIED poolable in verification audit 2026-07
Examining the risk of depression or self-harm associated with incretin-based therapie,observational,cohort,T2D,GLP-1 RA class,sulfonylurea,suicide attempt/self-harm,,,,,HR,0.8,0.57,1.13,adjusted (abstract/FT),yes,30297350.0,10.1136/bmjopen-2018-023830,BMJ Open,CPRD; adjusted composite
GLP-1 receptor agonists and risk of suicide or suicide attempts - A nationwide cohort,observational,cohort,T2D,GLP-1 RA class,SGLT2i,suicide attempt/self-harm,,,,,HR,0.93,0.57,1.52,adjusted (abstract/FT),yes,42000905.0,10.1038/s41380-026-03619-y,Mol Psychiatry,also vs DPP-4i 0.58
Association between Symptoms of Depression and Generalised Anxiety Disorder Evaluated,observational,cohort,,,,neuropsychiatric (non-core/non-poolable),,,,,,,,,non_poolable,no,39125320.0,10.3390/nu16152438,Nutrients,"Nutrients cross-sectional; PHQ-9/GAD-7 correlations with BMI, no exposure ratio"
