nct,title,drugs,kind,term,organ,group,arm,affected,atRisk
NCT03548935,STEP 1: Research Study Investigating How Well Semaglutide Works in People Suffer,semaglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Sema 2.4 mg,other,1,1306
NCT03548935,STEP 1: Research Study Investigating How Well Semaglutide Works in People Suffer,semaglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Placebo,comparator,0,655
NCT03548935,STEP 1: Research Study Investigating How Well Semaglutide Works in People Suffer,semaglutide,seriousEvents,Suicide attempt,Psychiatric disorders,Sema 2.4 mg,other,0,1306
NCT03548935,STEP 1: Research Study Investigating How Well Semaglutide Works in People Suffer,semaglutide,seriousEvents,Suicide attempt,Psychiatric disorders,Placebo,comparator,1,655
NCT03914326,A Heart Disease Study of Semaglutide in Patients With Type 2 Diabetes,semaglutide,seriousEvents,Completed suicide,Psychiatric disorders,Oral Semaglutide,GLP1,3,4825
NCT03914326,A Heart Disease Study of Semaglutide in Patients With Type 2 Diabetes,semaglutide,seriousEvents,Completed suicide,Psychiatric disorders,Placebo,comparator,1,4825
NCT03914326,A Heart Disease Study of Semaglutide in Patients With Type 2 Diabetes,semaglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Oral Semaglutide,GLP1,0,4825
NCT03914326,A Heart Disease Study of Semaglutide in Patients With Type 2 Diabetes,semaglutide,seriousEvents,Suicidal ideation,Psychiatric disorders,Placebo,comparator,1,4825
NCT03914326,A Heart Disease Study of Semaglutide in Patients With Type 2 Diabetes,semaglutide,seriousEvents,Suicide attempt,Psychiatric disorders,Oral Semaglutide,GLP1,2,4825
NCT03914326,A Heart Disease Study of Semaglutide in Patients With Type 2 Diabetes,semaglutide,seriousEvents,Suicide attempt,Psychiatric disorders,Placebo,comparator,2,4825
NCT03021187,Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 D,semaglutide,seriousEvents,Depression suicidal,Psychiatric disorders,Oral Semaglutide 3 mg,GLP1,0,184
NCT03021187,Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 D,semaglutide,seriousEvents,Depression suicidal,Psychiatric disorders,Oral Semaglutide 7 mg,GLP1,0,181
NCT03021187,Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 D,semaglutide,seriousEvents,Depression suicidal,Psychiatric disorders,Oral Semaglutide 14 mg,GLP1,0,181
NCT03021187,Efficacy and Safety of Oral Semaglutide Versus Placebo in Subjects With Type 2 D,semaglutide,seriousEvents,Depression suicidal,Psychiatric disorders,Placebo,comparator,1,184
NCT05144984,A Research Study Looking at How Well a Combination of the Medicines Semaglutide ,semaglutide,seriousEvents,Suicide attempt,Psychiatric disorders,Semaglutide 2.4 mg + NNC0480-0389 2.4 mg,GLP1,0,77
NCT05144984,A Research Study Looking at How Well a Combination of the Medicines Semaglutide ,semaglutide,seriousEvents,Suicide attempt,Psychiatric disorders,Semaglutide 2.4 mg + NNC0480-0389 7.2 mg,GLP1,0,74
NCT05144984,A Research Study Looking at How Well a Combination of the Medicines Semaglutide ,semaglutide,seriousEvents,Suicide attempt,Psychiatric disorders,Semaglutide 2.4 mg + NNC0480-0389 12.0 mg,GLP1,0,77
NCT05144984,A Research Study Looking at How Well a Combination of the Medicines Semaglutide ,semaglutide,seriousEvents,Suicide attempt,Psychiatric disorders,Semaglutide 2.4 mg + NNC0480-0389 21.6 mg,GLP1,0,77
NCT05144984,A Research Study Looking at How Well a Combination of the Medicines Semaglutide ,semaglutide,seriousEvents,Suicide attempt,Psychiatric disorders,Semaglutide 2.4 mg + Placebo (NNC0480-0389),GLP1,1,75
NCT05144984,A Research Study Looking at How Well a Combination of the Medicines Semaglutide ,semaglutide,seriousEvents,Suicide attempt,Psychiatric disorders,NNC0480-0389 21.6 mg + Placebo (Semaglutide),GLP1,0,59
NCT05144984,A Research Study Looking at How Well a Combination of the Medicines Semaglutide ,semaglutide,seriousEvents,Suicide attempt,Psychiatric disorders,Placebo,comparator,0,61
NCT03574597,Semaglutide Effects on Heart Disease and Stroke in Patients With Overweight or O,semaglutide,seriousEvents,Completed suicide,Psychiatric disorders,Semaglutide,GLP1,5,8803
NCT03574597,Semaglutide Effects on Heart Disease and Stroke in Patients With Overweight or O,semaglutide,seriousEvents,Completed suicide,Psychiatric disorders,Placebo,comparator,2,8801
NCT03574597,Semaglutide Effects on Heart Disease and Stroke in Patients With Overweight or O,semaglutide,seriousEvents,Depression suicidal,Psychiatric disorders,Semaglutide,GLP1,0,8803
