substance,scope,a,ROR,ci_low,ci_high,IC025,direction,comparator,snapshot,api_key_used,outcome_type
alcohol,class-level GLP-1 RA,35,0.512,0.324,0.808,-0.907,inverse disproportionality (ROR<1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
alcohol,semaglutide-only,14,1.085,0.589,1.998,-0.668,no disproportionality (CI spans 1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
nicotine_tobacco,class-level GLP-1 RA,8,0.268,0.116,0.622,-1.993,inverse disproportionality (ROR<1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
nicotine_tobacco,semaglutide-only,3,0.533,0.156,1.82,-2.362,no disproportionality (CI spans 1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
substance_drug,class-level GLP-1 RA,158,0.357,0.293,0.436,-0.95,inverse disproportionality (ROR<1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
substance_drug,semaglutide-only,50,0.568,0.42,0.768,-1.052,inverse disproportionality (ROR<1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
behavioural,class-level GLP-1 RA,25,0.356,0.216,0.587,-1.293,inverse disproportionality (ROR<1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
behavioural,semaglutide-only,6,0.432,0.183,1.015,-2.147,no disproportionality (CI spans 1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
any_addiction_composite,class-level GLP-1 RA,222,0.368,0.311,0.435,-0.889,inverse disproportionality (ROR<1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
any_addiction_composite,semaglutide-only,71,0.596,0.462,0.768,-0.93,inverse disproportionality (ROR<1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
reward_appetite_axis,class-level GLP-1 RA,22044,3.408,3.292,3.528,0.401,over-reported (ROR>1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
reward_appetite_axis,semaglutide-only,6444,4.536,4.363,4.715,1.199,over-reported (ROR>1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
CONTROL_headache,class-level GLP-1 RA,12218,1.101,1.067,1.135,0.022,over-reported (ROR>1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
CONTROL_headache,semaglutide-only,3568,1.605,1.54,1.672,0.417,over-reported (ROR>1),SGLT2i+DPP-4i,2026-04-28,False,Stream D benefit-side (EXPLORATORY consistency check only)
