quarter,start,num,den,prop,entity,outcome,snapshot,api_key_used
2018Q1,20180101,0,28,0.0,semaglutide,suicide_selfinjury,2026-04-28,False
2018Q2,20180401,0,165,0.0,semaglutide,suicide_selfinjury,2026-04-28,False
2018Q3,20180701,1,394,0.0025380710659898475,semaglutide,suicide_selfinjury,2026-04-28,False
2018Q4,20181001,2,574,0.003484320557491289,semaglutide,suicide_selfinjury,2026-04-28,False
2019Q1,20190101,1,166,0.006024096385542169,semaglutide,suicide_selfinjury,2026-04-28,False
2019Q2,20190401,0,274,0.0,semaglutide,suicide_selfinjury,2026-04-28,False
2019Q3,20190701,0,897,0.0,semaglutide,suicide_selfinjury,2026-04-28,False
2019Q4,20191001,3,427,0.00702576112412178,semaglutide,suicide_selfinjury,2026-04-28,False
2020Q1,20200101,1,1223,0.0008176614881439084,semaglutide,suicide_selfinjury,2026-04-28,False
2020Q2,20200401,0,1170,0.0,semaglutide,suicide_selfinjury,2026-04-28,False
2020Q3,20200701,3,581,0.0051635111876075735,semaglutide,suicide_selfinjury,2026-04-28,False
2020Q4,20201001,6,719,0.008344923504867872,semaglutide,suicide_selfinjury,2026-04-28,False
2021Q1,20210101,6,1495,0.004013377926421404,semaglutide,suicide_selfinjury,2026-04-28,False
2021Q2,20210401,1,704,0.0014204545454545455,semaglutide,suicide_selfinjury,2026-04-28,False
2021Q3,20210701,5,1965,0.002544529262086514,semaglutide,suicide_selfinjury,2026-04-28,False
2021Q4,20211001,9,1298,0.006933744221879815,semaglutide,suicide_selfinjury,2026-04-28,False
2022Q1,20220101,2,2565,0.0007797270955165692,semaglutide,suicide_selfinjury,2026-04-28,False
2022Q2,20220401,8,1647,0.004857316332726169,semaglutide,suicide_selfinjury,2026-04-28,False
2022Q3,20220701,10,2643,0.0037835792659856224,semaglutide,suicide_selfinjury,2026-04-28,False
2022Q4,20221001,14,1216,0.011513157894736841,semaglutide,suicide_selfinjury,2026-04-28,False
2023Q1,20230101,18,3401,0.0052925610114672155,semaglutide,suicide_selfinjury,2026-04-28,False
2023Q2,20230401,30,1756,0.017084282460136675,semaglutide,suicide_selfinjury,2026-04-28,False
2023Q3,20230701,100,4647,0.021519259737465032,semaglutide,suicide_selfinjury,2026-04-28,False
2023Q4,20231001,88,2041,0.04311611954924057,semaglutide,suicide_selfinjury,2026-04-28,False
2024Q1,20240101,87,5354,0.016249533059394843,semaglutide,suicide_selfinjury,2026-04-28,False
2024Q2,20240401,77,2693,0.028592647604901596,semaglutide,suicide_selfinjury,2026-04-28,False
2024Q3,20240701,88,7598,0.011581995261911029,semaglutide,suicide_selfinjury,2026-04-28,False
2024Q4,20241001,73,3447,0.02117783579924572,semaglutide,suicide_selfinjury,2026-04-28,False
2025Q1,20250101,66,3883,0.0169971671388102,semaglutide,suicide_selfinjury,2026-04-28,False
2025Q2,20250401,45,3795,0.011857707509881422,semaglutide,suicide_selfinjury,2026-04-28,False
2025Q3,20250701,71,15486,0.004584786258556115,semaglutide,suicide_selfinjury,2026-04-28,False
2025Q4,20251001,48,4239,0.01132342533616419,semaglutide,suicide_selfinjury,2026-04-28,False
2026Q1,20260101,49,4368,0.011217948717948718,semaglutide,suicide_selfinjury,2026-04-28,False
2026Q2,20260401,0,0,,semaglutide,suicide_selfinjury,2026-04-28,False
2018Q1,20180101,7,28,0.25,semaglutide,nausea_ctrl,2026-04-28,False
2018Q2,20180401,54,165,0.32727272727272727,semaglutide,nausea_ctrl,2026-04-28,False
2018Q3,20180701,91,394,0.23096446700507614,semaglutide,nausea_ctrl,2026-04-28,False
2018Q4,20181001,91,574,0.15853658536585366,semaglutide,nausea_ctrl,2026-04-28,False
2019Q1,20190101,37,166,0.22289156626506024,semaglutide,nausea_ctrl,2026-04-28,False
2019Q2,20190401,54,274,0.19708029197080293,semaglutide,nausea_ctrl,2026-04-28,False
2019Q3,20190701,179,897,0.1995540691192865,semaglutide,nausea_ctrl,2026-04-28,False
2019Q4,20191001,86,427,0.20140515222482436,semaglutide,nausea_ctrl,2026-04-28,False
2020Q1,20200101,235,1223,0.19215044971381848,semaglutide,nausea_ctrl,2026-04-28,False
2020Q2,20200401,249,1170,0.2128205128205128,semaglutide,nausea_ctrl,2026-04-28,False
2020Q3,20200701,91,581,0.1566265060240964,semaglutide,nausea_ctrl,2026-04-28,False
2020Q4,20201001,101,719,0.1404728789986092,semaglutide,nausea_ctrl,2026-04-28,False
2021Q1,20210101,274,1495,0.18327759197324414,semaglutide,nausea_ctrl,2026-04-28,False
2021Q2,20210401,86,704,0.12215909090909091,semaglutide,nausea_ctrl,2026-04-28,False
2021Q3,20210701,363,1965,0.18473282442748093,semaglutide,nausea_ctrl,2026-04-28,False
2021Q4,20211001,173,1298,0.1332819722650231,semaglutide,nausea_ctrl,2026-04-28,False
2022Q1,20220101,470,2565,0.18323586744639375,semaglutide,nausea_ctrl,2026-04-28,False
2022Q2,20220401,238,1647,0.14450516089860352,semaglutide,nausea_ctrl,2026-04-28,False
2022Q3,20220701,392,2643,0.14831630722663638,semaglutide,nausea_ctrl,2026-04-28,False
2022Q4,20221001,130,1216,0.1069078947368421,semaglutide,nausea_ctrl,2026-04-28,False
2023Q1,20230101,580,3401,0.17053807703616583,semaglutide,nausea_ctrl,2026-04-28,False
2023Q2,20230401,211,1756,0.12015945330296128,semaglutide,nausea_ctrl,2026-04-28,False
2023Q3,20230701,753,4647,0.1620400258231117,semaglutide,nausea_ctrl,2026-04-28,False
2023Q4,20231001,226,2041,0.11073003429691328,semaglutide,nausea_ctrl,2026-04-28,False
2024Q1,20240101,689,5354,0.12868883078072468,semaglutide,nausea_ctrl,2026-04-28,False
2024Q2,20240401,303,2693,0.11251392499071668,semaglutide,nausea_ctrl,2026-04-28,False
2024Q3,20240701,1239,7598,0.16306922874440644,semaglutide,nausea_ctrl,2026-04-28,False
2024Q4,20241001,400,3447,0.11604293588627793,semaglutide,nausea_ctrl,2026-04-28,False
2025Q1,20250101,479,3883,0.1233582281740922,semaglutide,nausea_ctrl,2026-04-28,False
2025Q2,20250401,429,3795,0.11304347826086956,semaglutide,nausea_ctrl,2026-04-28,False
2025Q3,20250701,2512,15486,0.16221102931680229,semaglutide,nausea_ctrl,2026-04-28,False
2025Q4,20251001,418,4239,0.09860816230242982,semaglutide,nausea_ctrl,2026-04-28,False
2026Q1,20260101,433,4368,0.09913003663003662,semaglutide,nausea_ctrl,2026-04-28,False
2026Q2,20260401,0,0,,semaglutide,nausea_ctrl,2026-04-28,False
2018Q1,20180101,2,28,0.07142857142857142,semaglutide,headache_ctrl,2026-04-28,False
2018Q2,20180401,10,165,0.06060606060606061,semaglutide,headache_ctrl,2026-04-28,False
2018Q3,20180701,14,394,0.03553299492385787,semaglutide,headache_ctrl,2026-04-28,False
2018Q4,20181001,17,574,0.029616724738675958,semaglutide,headache_ctrl,2026-04-28,False
2019Q1,20190101,9,166,0.05421686746987952,semaglutide,headache_ctrl,2026-04-28,False
2019Q2,20190401,8,274,0.029197080291970802,semaglutide,headache_ctrl,2026-04-28,False
2019Q3,20190701,51,897,0.056856187290969896,semaglutide,headache_ctrl,2026-04-28,False
2019Q4,20191001,15,427,0.0351288056206089,semaglutide,headache_ctrl,2026-04-28,False
2020Q1,20200101,67,1223,0.05478331970564186,semaglutide,headache_ctrl,2026-04-28,False
2020Q2,20200401,80,1170,0.06837606837606838,semaglutide,headache_ctrl,2026-04-28,False
2020Q3,20200701,36,581,0.06196213425129088,semaglutide,headache_ctrl,2026-04-28,False
2020Q4,20201001,35,719,0.048678720445062586,semaglutide,headache_ctrl,2026-04-28,False
2021Q1,20210101,85,1495,0.056856187290969896,semaglutide,headache_ctrl,2026-04-28,False
2021Q2,20210401,40,704,0.056818181818181816,semaglutide,headache_ctrl,2026-04-28,False
2021Q3,20210701,125,1965,0.06361323155216285,semaglutide,headache_ctrl,2026-04-28,False
2021Q4,20211001,49,1298,0.03775038520801233,semaglutide,headache_ctrl,2026-04-28,False
2022Q1,20220101,136,2565,0.053021442495126705,semaglutide,headache_ctrl,2026-04-28,False
2022Q2,20220401,73,1647,0.04432301153612629,semaglutide,headache_ctrl,2026-04-28,False
2022Q3,20220701,140,2643,0.05297010972379872,semaglutide,headache_ctrl,2026-04-28,False
2022Q4,20221001,59,1216,0.04851973684210526,semaglutide,headache_ctrl,2026-04-28,False
2023Q1,20230101,190,3401,0.055865921787709494,semaglutide,headache_ctrl,2026-04-28,False
2023Q2,20230401,69,1756,0.03929384965831435,semaglutide,headache_ctrl,2026-04-28,False
2023Q3,20230701,260,4647,0.05595007531740908,semaglutide,headache_ctrl,2026-04-28,False
2023Q4,20231001,91,2041,0.044585987261146494,semaglutide,headache_ctrl,2026-04-28,False
2024Q1,20240101,247,5354,0.0461337317893164,semaglutide,headache_ctrl,2026-04-28,False
2024Q2,20240401,89,2693,0.03304864463423691,semaglutide,headache_ctrl,2026-04-28,False
2024Q3,20240701,310,7598,0.040800210581732034,semaglutide,headache_ctrl,2026-04-28,False
2024Q4,20241001,121,3447,0.03510298810559907,semaglutide,headache_ctrl,2026-04-28,False
2025Q1,20250101,133,3883,0.034251867113056916,semaglutide,headache_ctrl,2026-04-28,False
2025Q2,20250401,139,3795,0.03662714097496706,semaglutide,headache_ctrl,2026-04-28,False
2025Q3,20250701,608,15486,0.039261268242283355,semaglutide,headache_ctrl,2026-04-28,False
2025Q4,20251001,129,4239,0.03043170559094126,semaglutide,headache_ctrl,2026-04-28,False
2026Q1,20260101,124,4368,0.028388278388278388,semaglutide,headache_ctrl,2026-04-28,False
2026Q2,20260401,0,0,,semaglutide,headache_ctrl,2026-04-28,False
2018Q1,20180101,1,28,0.03571428571428571,semaglutide,injsite_ctrl,2026-04-28,False
2018Q2,20180401,4,165,0.024242424242424242,semaglutide,injsite_ctrl,2026-04-28,False
2018Q3,20180701,12,394,0.030456852791878174,semaglutide,injsite_ctrl,2026-04-28,False
2018Q4,20181001,13,574,0.02264808362369338,semaglutide,injsite_ctrl,2026-04-28,False
2019Q1,20190101,2,166,0.012048192771084338,semaglutide,injsite_ctrl,2026-04-28,False
2019Q2,20190401,5,274,0.01824817518248175,semaglutide,injsite_ctrl,2026-04-28,False
2019Q3,20190701,14,897,0.01560758082497213,semaglutide,injsite_ctrl,2026-04-28,False
2019Q4,20191001,9,427,0.02107728337236534,semaglutide,injsite_ctrl,2026-04-28,False
2020Q1,20200101,29,1223,0.023712183156173343,semaglutide,injsite_ctrl,2026-04-28,False
2020Q2,20200401,25,1170,0.021367521367521368,semaglutide,injsite_ctrl,2026-04-28,False
2020Q3,20200701,13,581,0.022375215146299483,semaglutide,injsite_ctrl,2026-04-28,False
2020Q4,20201001,16,719,0.022253129346314324,semaglutide,injsite_ctrl,2026-04-28,False
2021Q1,20210101,24,1495,0.016053511705685617,semaglutide,injsite_ctrl,2026-04-28,False
2021Q2,20210401,18,704,0.02556818181818182,semaglutide,injsite_ctrl,2026-04-28,False
2021Q3,20210701,58,1965,0.029516539440203562,semaglutide,injsite_ctrl,2026-04-28,False
2021Q4,20211001,65,1298,0.05007704160246533,semaglutide,injsite_ctrl,2026-04-28,False
2022Q1,20220101,91,2565,0.0354775828460039,semaglutide,injsite_ctrl,2026-04-28,False
2022Q2,20220401,107,1647,0.0649666059502125,semaglutide,injsite_ctrl,2026-04-28,False
2022Q3,20220701,63,2643,0.02383654937570942,semaglutide,injsite_ctrl,2026-04-28,False
2022Q4,20221001,33,1216,0.027138157894736843,semaglutide,injsite_ctrl,2026-04-28,False
2023Q1,20230101,69,3401,0.020288150543957658,semaglutide,injsite_ctrl,2026-04-28,False
2023Q2,20230401,36,1756,0.02050113895216401,semaglutide,injsite_ctrl,2026-04-28,False
2023Q3,20230701,99,4647,0.02130406714009038,semaglutide,injsite_ctrl,2026-04-28,False
2023Q4,20231001,57,2041,0.02792748652621264,semaglutide,injsite_ctrl,2026-04-28,False
2024Q1,20240101,114,5354,0.02129249159506911,semaglutide,injsite_ctrl,2026-04-28,False
2024Q2,20240401,69,2693,0.025621982918678055,semaglutide,injsite_ctrl,2026-04-28,False
2024Q3,20240701,186,7598,0.024480126349039222,semaglutide,injsite_ctrl,2026-04-28,False
2024Q4,20241001,59,3447,0.017116333043225993,semaglutide,injsite_ctrl,2026-04-28,False
2025Q1,20250101,81,3883,0.02086015967035797,semaglutide,injsite_ctrl,2026-04-28,False
2025Q2,20250401,109,3795,0.028722002635046113,semaglutide,injsite_ctrl,2026-04-28,False
2025Q3,20250701,379,15486,0.024473718197081235,semaglutide,injsite_ctrl,2026-04-28,False
2025Q4,20251001,76,4239,0.017928756782259966,semaglutide,injsite_ctrl,2026-04-28,False
2026Q1,20260101,60,4368,0.013736263736263736,semaglutide,injsite_ctrl,2026-04-28,False
2026Q2,20260401,0,0,,semaglutide,injsite_ctrl,2026-04-28,False
2018Q1,20180101,0,0,,tirzepatide,suicide_selfinjury,2026-04-28,False
2018Q2,20180401,0,1,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2018Q3,20180701,1,1,1.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2018Q4,20181001,0,2,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2019Q1,20190101,0,5,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2019Q2,20190401,0,4,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2019Q3,20190701,0,3,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2019Q4,20191001,0,14,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2020Q1,20200101,0,5,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2020Q2,20200401,0,6,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2020Q3,20200701,0,12,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2020Q4,20201001,0,9,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2021Q1,20210101,0,10,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2021Q2,20210401,0,9,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2021Q3,20210701,0,7,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2021Q4,20211001,0,9,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2022Q1,20220101,0,19,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2022Q2,20220401,0,18,0.0,tirzepatide,suicide_selfinjury,2026-04-28,False
2022Q3,20220701,1,1289,0.0007757951900698216,tirzepatide,suicide_selfinjury,2026-04-28,False
2022Q4,20221001,1,3719,0.00026888948642108095,tirzepatide,suicide_selfinjury,2026-04-28,False
2023Q1,20230101,5,4888,0.0010229132569558102,tirzepatide,suicide_selfinjury,2026-04-28,False
2023Q2,20230401,6,5246,0.001143728555089592,tirzepatide,suicide_selfinjury,2026-04-28,False
2023Q3,20230701,6,5901,0.0010167768174885613,tirzepatide,suicide_selfinjury,2026-04-28,False
2023Q4,20231001,17,4763,0.003569179088809574,tirzepatide,suicide_selfinjury,2026-04-28,False
