snapshot_date,exposureName,faers_token,outcomeName,groundTruth,a,b,c,d,ROR,IC025,signal_evans,signal_ror,signal_ic,estimable,note
2026-04-28,Adenosine,adenosine,OMOP Acute Liver Failure 1,0,14,1585.0,115812.0,20211164.0,1.541,-0.136,False,False,False,True,
2026-04-28,almotriptan,almotriptan,OMOP Acute Liver Failure 1,0,4,950.0,115822.0,20211799.0,0.735,-1.856,False,False,False,True,
2026-04-28,Amylases,amylases,OMOP Acute Liver Failure 1,0,0,,,,,,,,,False,drug absent in openFDA generic_name
2026-04-28,Benzocaine,benzocaine,OMOP Acute Liver Failure 1,0,19,1500.0,115807.0,20211249.0,2.211,0.486,True,True,True,True,
2026-04-28,benzonatate,benzonatate,OMOP Acute Liver Failure 1,0,75,15882.0,115751.0,20196867.0,0.824,-0.604,False,False,False,True,
2026-04-28,Cosyntropin,cosyntropin,OMOP Acute Liver Failure 1,0,2,209.0,115824.0,20212540.0,1.67,-1.265,False,False,False,True,
2026-04-28,Dicyclomine,dicyclomine,OMOP Acute Liver Failure 1,0,45,13723.0,115781.0,20199026.0,0.572,-1.223,False,False,False,True,
2026-04-28,Droperidol,droperidol,OMOP Acute Liver Failure 1,0,6,1570.0,115820.0,20211179.0,0.667,-1.736,False,False,False,True,
2026-04-28,Endopeptidases,endopeptidases,OMOP Acute Liver Failure 1,0,0,,,,,,,,,False,drug absent in openFDA generic_name
2026-04-28,Ergotamine,ergotamine,OMOP Acute Liver Failure 1,0,1,348.0,115825.0,20212401.0,0.501,-3.819,False,False,False,True,
2026-04-28,ferrous gluconate,ferrous gluconate,OMOP Acute Liver Failure 1,0,0,,,,,,,,,False,drug absent in openFDA generic_name
2026-04-28,Flavoxate,flavoxate,OMOP Acute Liver Failure 1,0,2,98.0,115824.0,20212651.0,3.561,-0.188,False,False,False,True,
2026-04-28,fluticasone,fluticasone,OMOP Acute Liver Failure 1,0,590,265343.0,115236.0,19947406.0,0.385,-1.477,False,False,False,True,
2026-04-28,gatifloxacin,gatifloxacin,OMOP Acute Liver Failure 1,0,14,1733.0,115812.0,20211016.0,1.41,-0.264,False,False,False,True,
2026-04-28,Griseofulvin,griseofulvin,OMOP Acute Liver Failure 1,0,2,283.0,115824.0,20212466.0,1.233,-1.699,False,False,False,True,
2026-04-28,Hyoscyamine,hyoscyamine,OMOP Acute Liver Failure 1,0,41,10006.0,115785.0,20202743.0,0.715,-0.923,False,False,False,True,
2026-04-28,Ketotifen,ketotifen,OMOP Acute Liver Failure 1,0,7,6408.0,115819.0,20206341.0,0.191,-3.453,False,False,False,True,
2026-04-28,Lactulose,lactulose,OMOP Acute Liver Failure 1,0,985,36680.0,114841.0,20176069.0,4.718,2.108,True,True,True,True,
2026-04-28,Lipase,lipase,OMOP Acute Liver Failure 1,0,15,6886.0,115811.0,20205863.0,0.38,-2.12,False,False,False,True,
2026-04-28,lithium citrate,lithium,OMOP Acute Liver Failure 1,0,411,41417.0,115415.0,20171332.0,1.734,0.647,False,True,True,True,
2026-04-28,Methenamine,methenamine,OMOP Acute Liver Failure 1,0,3,2116.0,115823.0,20210633.0,0.247,-3.641,False,False,False,True,
2026-04-28,Miconazole,miconazole,OMOP Acute Liver Failure 1,0,15,8375.0,115811.0,20204374.0,0.312,-2.402,False,False,False,True,
2026-04-28,Neostigmine,neostigmine,OMOP Acute Liver Failure 1,0,29,1523.0,115797.0,20211226.0,3.323,1.188,True,True,True,True,
2026-04-28,oxybutynin,oxybutynin,OMOP Acute Liver Failure 1,0,89,37071.0,115737.0,20175678.0,0.419,-1.55,False,False,False,True,
2026-04-28,Paromomycin,paromomycin,OMOP Acute Liver Failure 1,0,3,99.0,115823.0,20212650.0,5.288,0.735,True,True,True,True,
2026-04-28,Penicillin V,penicillin v,OMOP Acute Liver Failure 1,0,23,2435.0,115803.0,20210314.0,1.648,0.126,False,True,True,True,
2026-04-28,Phentermine,phentermine,OMOP Acute Liver Failure 1,0,53,11949.0,115773.0,20200800.0,0.774,-0.756,False,False,False,True,
2026-04-28,Phentolamine,phentolamine,OMOP Acute Liver Failure 1,0,1,153.0,115825.0,20212596.0,1.141,-2.639,False,False,False,True,
2026-04-28,Primidone,primidone,OMOP Acute Liver Failure 1,0,77,9883.0,115749.0,20202866.0,1.36,0.118,False,True,True,True,
2026-04-28,Propantheline,propantheline,OMOP Acute Liver Failure 1,0,0,,,,,,,,,False,drug absent in openFDA generic_name
2026-04-28,salmeterol,salmeterol,OMOP Acute Liver Failure 1,0,136,107294.0,115690.0,20105455.0,0.22,-2.413,False,False,False,True,
2026-04-28,Scopolamine,scopolamine,OMOP Acute Liver Failure 1,0,36,6647.0,115790.0,20206102.0,0.945,-0.552,False,False,False,True,
2026-04-28,sitagliptin,sitagliptin,OMOP Acute Liver Failure 1,0,502,93052.0,115324.0,20119697.0,0.941,-0.213,False,False,False,True,
2026-04-28,"Sodium Phosphate, Monobasic","sodium phosphate, monobasic",OMOP Acute Liver Failure 1,0,7,1460.0,115819.0,20211289.0,0.837,-1.325,False,False,False,True,
2026-04-28,Sucralfate,sucralfate,OMOP Acute Liver Failure 1,0,153,23255.0,115673.0,20189494.0,1.148,-0.031,False,False,False,True,
2026-04-28,Tetrahydrocannabinol,dronabinol,OMOP Acute Liver Failure 1,0,47,7846.0,115779.0,20204903.0,1.045,-0.349,False,False,False,True,
2026-04-28,Tinidazole,tinidazole,OMOP Acute Liver Failure 1,0,6,430.0,115820.0,20212319.0,2.435,0.118,False,True,True,True,
2026-04-28,Acarbose,acarbose,OMOP Acute Renal Failure 1,0,306,3488.0,379461.0,19945320.0,4.611,1.948,True,True,True,True,
2026-04-28,Adenosine,adenosine,OMOP Acute Renal Failure 1,0,89,1510.0,379678.0,19947298.0,3.097,1.275,True,True,True,True,
2026-04-28,almotriptan,almotriptan,OMOP Acute Renal Failure 1,0,3,951.0,379764.0,19947857.0,0.166,-4.203,False,False,False,True,
2026-04-28,Amylases,amylases,OMOP Acute Renal Failure 1,0,0,,,,,,,,,False,drug absent in openFDA generic_name
2026-04-28,Benzocaine,benzocaine,OMOP Acute Renal Failure 1,0,72,1447.0,379695.0,19947361.0,2.614,1.01,True,True,True,True,
2026-04-28,benzonatate,benzonatate,OMOP Acute Renal Failure 1,0,1276,14681.0,378491.0,19934127.0,4.578,2.019,True,True,True,True,
2026-04-28,bromfenac,bromfenac,OMOP Acute Renal Failure 1,0,31,2318.0,379736.0,19946490.0,0.702,-1.009,False,False,False,True,
2026-04-28,Chlorambucil,chlorambucil,OMOP Acute Renal Failure 1,0,103,3786.0,379664.0,19945022.0,1.429,0.225,False,True,True,True,
2026-04-28,Chlorazepate,clorazepate,OMOP Acute Renal Failure 1,0,106,1780.0,379661.0,19947028.0,3.129,1.314,True,True,True,True,
2026-04-28,Clozapine,clozapine,OMOP Acute Renal Failure 1,0,1511,121690.0,378256.0,19827118.0,0.651,-0.68,False,False,False,True,
2026-04-28,Cosyntropin,cosyntropin,OMOP Acute Renal Failure 1,0,15,196.0,379752.0,19948612.0,4.02,1.198,True,True,True,True,
2026-04-28,Dacarbazine,dacarbazine,OMOP Acute Renal Failure 1,0,143,7105.0,379624.0,19941703.0,1.057,-0.158,False,False,False,True,
2026-04-28,darbepoetin alfa,darbepoetin alfa,OMOP Acute Renal Failure 1,0,2200,50835.0,377567.0,19897973.0,2.281,1.091,True,True,True,True,
2026-04-28,darifenacin,darifenacin,OMOP Acute Renal Failure 1,0,37,817.0,379730.0,19947991.0,2.379,0.749,True,True,True,True,
2026-04-28,darunavir,darunavir,OMOP Acute Renal Failure 1,0,1995,16928.0,377772.0,19931880.0,6.218,2.433,True,True,True,True,
2026-04-28,Dicyclomine,dicyclomine,OMOP Acute Renal Failure 1,0,792,12976.0,378975.0,19935832.0,3.211,1.522,True,True,True,True,
2026-04-28,Disulfiram,disulfiram,OMOP Acute Renal Failure 1,0,52,1052.0,379715.0,19947756.0,2.597,0.942,True,True,True,True,
2026-04-28,eletriptan,eletriptan,OMOP Acute Renal Failure 1,0,55,6911.0,379712.0,19941897.0,0.418,-1.624,False,False,False,True,
2026-04-28,Endopeptidases,endopeptidases,OMOP Acute Renal Failure 1,0,0,,,,,,,,,False,drug absent in openFDA generic_name
2026-04-28,entecavir,entecavir,OMOP Acute Renal Failure 1,0,603,10787.0,379164.0,19938021.0,2.939,1.388,True,True,True,True,
2026-04-28,Ergotamine,ergotamine,OMOP Acute Renal Failure 1,0,14,335.0,379753.0,19948473.0,2.195,0.347,True,True,True,True,
2026-04-28,ferrous gluconate,ferrous gluconate,OMOP Acute Renal Failure 1,0,0,,,,,,,,,False,drug absent in openFDA generic_name
2026-04-28,Flavoxate,flavoxate,OMOP Acute Renal Failure 1,0,6,94.0,379761.0,19948714.0,3.353,0.529,True,True,True,True,
2026-04-28,Flutamide,flutamide,OMOP Acute Renal Failure 1,0,49,934.0,379718.0,19947874.0,2.756,1.012,True,True,True,True,
2026-04-28,frovatriptan,frovatriptan,OMOP Acute Renal Failure 1,0,8,728.0,379759.0,19948080.0,0.577,-1.781,False,False,False,True,
2026-04-28,gatifloxacin,gatifloxacin,OMOP Acute Renal Failure 1,0,103,1644.0,379664.0,19947164.0,3.292,1.379,True,True,True,True,
2026-04-28,Griseofulvin,griseofulvin,OMOP Acute Renal Failure 1,0,12,273.0,379755.0,19948535.0,2.309,0.356,True,True,True,True,
2026-04-28,Hyoscyamine,hyoscyamine,OMOP Acute Renal Failure 1,0,476,9571.0,379291.0,19939237.0,2.614,1.213,True,True,True,True,
2026-04-28,Imipramine,imipramine,OMOP Acute Renal Failure 1,0,21,687.0,379746.0,19948121.0,1.606,0.05,False,True,True,True,
2026-04-28,infliximab,infliximab,OMOP Acute Renal Failure 1,0,2760,237849.0,377007.0,19710959.0,0.607,-0.757,False,False,False,True,
2026-04-28,Ketoconazole,ketoconazole,OMOP Acute Renal Failure 1,0,770,16092.0,378997.0,19932716.0,2.517,1.188,True,True,True,True,
2026-04-28,Ketotifen,ketotifen,OMOP Acute Renal Failure 1,0,30,6385.0,379737.0,19942423.0,0.247,-2.514,False,False,False,True,
2026-04-28,Lactulose,lactulose,OMOP Acute Renal Failure 1,0,2330,35335.0,377437.0,19913473.0,3.479,1.669,True,True,True,True,
2026-04-28,Lipase,lipase,OMOP Acute Renal Failure 1,0,83,6818.0,379684.0,19941990.0,0.639,-0.946,False,False,False,True,
2026-04-28,Loratadine,loratadine,OMOP Acute Renal Failure 1,0,2620,110414.0,377147.0,19838394.0,1.248,0.256,False,True,True,True,
2026-04-28,Mebendazole,mebendazole,OMOP Acute Renal Failure 1,0,6,766.0,379761.0,19948042.0,0.411,-2.42,False,False,False,True,
2026-04-28,metaxalone,metaxalone,OMOP Acute Renal Failure 1,0,160,3138.0,379607.0,19945670.0,2.679,1.153,True,True,True,True,
