study,D1_randomization,D2_deviations,D3_missing_outcome,D4_measurement,D5_selective_reporting,overall,framework
Ahrén 2013,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Arslanian 2022,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Blackman 2016,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Buse 2011,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Carydias 2022,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
DeFronzo 2010,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Gerstein 2019,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Hernandez 2018,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Ishii 2020,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Jabbour 2020,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Kaku 2019,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Kelly 2020,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Lincoff 2023,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Mentz 2017,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
None 2014,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Pfeffer 2015,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Pi-Sunyer 2015,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Seino 2012a,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Seino 2012b,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Tack 2019,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Tamborlane 2022,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Umpierrez 2014,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Unger 2021,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Wilding 2021,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
Zinman 2019,Low,Low,Low,Some concerns,Some concerns,Some concerns,RoB2
