study_id,framework,D1,D2,D3,D4,D5,D6,D7,overall
39535805,ROBINS-I,Serious,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Serious
41781010,ROBINS-I,Moderate,Low,Low,Moderate,Low,Moderate,Low,Moderate
38486046,ROBINS-I,Moderate,Low,Low,Moderate,Moderate,Moderate,Moderate,Moderate
39074369,ROBINS-I,Serious,Low,Low,Moderate,Moderate,Serious,Moderate,Serious
39937469,RoB2,Some concerns,Low,Some concerns,Low,Some concerns,,,Some concerns
41646707,ROBINS-I,Serious,Serious,Serious,Serious,Serious,Serious,No information,Serious
41883728,ROBINS-I,Serious,Serious,Moderate,Serious,No information,Moderate,Moderate,Serious
42151525,ROBINS-I,Serious,Serious,Moderate,Serious,Serious,Serious,Moderate,Serious
42189538,RoB2,Some concerns,Some concerns,Low,Some concerns,Some concerns,,,Some concerns
37991022,ROBINS-I,Low,Moderate,Low,Moderate,Moderate,Low,Low,Moderate
33831213,RoB2,Some concerns,Low,Some concerns,High,Some concerns,,,High
42070571,RoB2,Low,Low,Some concerns,High,Low,,,High
40897378,ROBINS-I,Serious,Serious,Moderate,Serious,Moderate,Moderate,Low,Serious
