study_id,framework,overall,r1_overall,r2_overall
41646707,ROBINS-I,Serious,Serious,Serious
40897378,ROBINS-I,Serious,Serious,Serious
39535805,ROBINS-I,Moderate,Serious,Moderate
37991022,ROBINS-I,Serious,Serious,Moderate
39074369,ROBINS-I,Serious,Serious,Serious
38486046,ROBINS-I,Moderate,Serious,No information
42151525,ROBINS-I,Serious,Serious,Serious
41883728,ROBINS-I,Serious,Serious,Serious
41781010,ROBINS-I,Moderate,Moderate,No information
33831213,RoB2,Some concerns,High,Some concerns
42189538,RoB2,High,High,Some concerns
42070571,RoB2,High,High,High
39937469,RoB2,High,High,Some concerns
